Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,2956716,3,1,2920.0,155.0,1460.0,0.0,973.3333333333334,842.9313930168537,155.0,155.0,155.0,0.0,1040.0051949527783,1.3528522861174357,985572.0,612266.1427933117,1494138.0,305977.0,1462578.0,731289.0,601481.9986400258,1156601.0,305977.0,0.0,0.0,0.0,0.0,0.0,0,60,20,1.0146392145880767,0.3382130715293589,0.0,1460.0,615.0,773.9670535623593,599025.0,1,0,0,1,4,0.0,768.75,973.3333333333334,155.0,0,0,0,1,1460,0,77,978,1369,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,9867,1,1,42.0,77.0,42.0,42.0,42.0,0.0,77.0,77.0,77.0,0.0,12060.40336475119,202.69585486976789,9867.0,0.0,9867.0,9867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32,32,101.34792743488394,101.34792743488394,42.0,77.0,53.66666666666666,20.207259421636905,408.3333333333333,2,0,0,2,2,1.0,80.5,42.0,77.0,0,0,0,0,0,0,0,545,469,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,10020982,12,12,1134.0,3716.0,542.0,0.0,94.5,159.69886434388715,2896.0,0.0,309.6666666666667,828.2284855294608,483.9845037143066,2.3949748637408987,435694.8695652174,676243.1717850736,2512826.0,0.0,9891460.0,899223.6363636364,901697.479644728,2640140.0,3.0,9848809.0,895346.2727272727,951096.0122049814,2642350.0,0.0,0,404,416,1.1974874318704494,1.1974874318704494,0.0,2896.0,194.0,582.4914877775753,339296.3333333332,2,2,0,12,23,1.0,202.08333333333331,94.5,309.6666666666667,764,4,5898,3,283,3,929,14600,114,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,2671871,4,8,517.0,6714.0,517.0,0.0,129.25,258.5,2896.0,0.0,839.25,1045.9237543913036,2706.343232888115,4.491234793895364,242897.36363636365,389519.9304667921,1011604.0,1.0,2623685.0,874561.6666666666,983067.035599472,1938563.0,2.0,2598892.0,371270.2857142857,472603.757167924,1011604.0,1.0,0,140,272,1.497078264631788,2.994156529263576,0.0,2896.0,556.2307692307693,891.5157648490346,794800.358974359,2,3,0,3,11,2.0,602.5833333333334,129.25,839.25,7231,5,145177,4,517,8,6714,65535,506,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,76390348,11,10,718.0,7968.0,590.0,0.0,65.27272727272727,175.90513972541615,3940.0,0.0,796.8000000000002,1405.097450159399,113.70546446522276,0.2749038399458528,3819517.4,10896947.01219531,45003323.0,287.0,76269216.0,7626921.6,14806154.006366108,45003323.0,17848.0,76274115.0,8474901.666666666,16036719.677156134,46645742.0,287.0,0,360,348,0.1439972494954467,0.1309065904504061,0.0,3940.0,394.8181818181818,1001.0588031043568,1002118.7272727272,2,3,0,6,20,0.0,413.6190476190476,65.27272727272727,796.8,0,0,0,1,119,1,1328,29200,261,3,32,4347160.5,6046104.511720294,8622402.0,71919.0,33787447.5,15861643.24598812,45003323.0,22571572.0,Mirai-greeth_flood
6,37,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0,40,0,54054.05405405405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,5931157,9,7,124.0,7919.0,124.0,0.0,13.77777777777778,41.333333333333336,3575.0,0.0,1131.2857142857144,1544.1013259374868,1356.059197219025,2.6976186939580256,395410.4666666667,777042.6211711635,2885181.0,1.0,5858407.0,732300875,1179470.416019766,3254823.0,1.0,5849000.0,974833.3333333336,1127729.4373784284,2957931.0,370.0,0,332,240,1.5174105153513893,1.180208178606636,0.0,3575.0,473.1176470588236,1103.2405609358811,1217139.7352941178,2,3,0,2,15,0.0,502.6875,13.77777777777778,1131.2857142857142,0,0,0,3,41,2,2639,65535,210,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,19876694,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552730147176386,1242293375,1180578.5862756094,2922557.0,131534.0,19876694.0,2839527.714285714,305617.2511272415,3054091.0,2255686.0,17600412.0,2200051.5,923959.2416927428,3054341.0,995709.0,0,188,216,0.4024814186906534,0.4527915960269851,0.0,0.0,0.0,0.0,0.0,0,16,1,0,10,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,2920,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
6,266,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7518.796992481202,266.0,0.0,266.0,266.0,266.0,266.0,0.0,266.0,266.0,0.0,0.0,0.0,0.0,0.0,0,40,0,7518.796992481202,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4380,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai-greeth_flood
17,101555602,12,3,180.0,108.0,48.0,4.0,15.0,19.8997487421324,36.0,36.0,36.0,0.0,2.835884917505585,0.1477023394534158,7253971.571428571,7550614.187334644,28315959.0,45395.0,101555602.0,9232327.454545457,7378819.680589847,28361603.0,1509815.0,80140699.0,40070349.5,208349.7201833974,40217675.0,39923024.0,0,96,24,0.1181618715627327,0.0295404678906831,4.0,48.0,18.25,19.375241933973363,375.3999999999999,0,0,0,0,0,0.0,19.466666666666665,15.0,36.0,0,0,0,1,16,0,9,0,0,11,8,1650185.6666666667,157973.42958970452,1832545.0,1555210.0,12075630625,6584478.38660024,28315959.0,8498403.0,Mirai-greeth_flood
